,,,
,,,
Driver control 100 Alcohol or drugs,Dri,ver control 100 Alcohol or drugs,
,354,Animal or insect in vehicle,
,355," Trying to find intersection, house number, destination",
,356,Advertising or signs,
,357, Emotionally upset /road rage,
,358,"Cigarette, radio, heater, AC, glove box, obj under drivers",
,fee,t/pedals etc,
,359,Cell phone,
,360,,
,361, Navigation device,
,362,CB radio/ non cell comms device,
,363, Driver dazzled,
,370,Did not see or look for another party until too late,
,371, Behind when reversing / manoeuvring,
,372, Behind when changing lanes position or direction (includes,
,U-t,urns),
,373, Behind when pulling out from parked position,
,374,Behind when opening door or leaving vehicle,
,375, When required to give way to traffic from another,
,dir,ection,
,376,When required to give way to pedestrians.,
,377, When visibility obstructed by other vehicles,
,378,When visibility limited by roadside features,
,379,When first in queue on receiving green light,
,380,"Misjudged speed, distance, size or position of:",
,381, Other vehicle coming from behind or alongside,
,382, Other vehicle coming from another direction with right of,
,way,,
,383, Pedestrian movement or intention,
,384,"Towed vehicle, or while towing a vehicle",
,385, Size or position of fixed object or obstacle,
,386,Of own vehicle,
,387, Misjudged intentions of another party,
,Gen,eral driver,
,400, Inexperience,
,401," In driving in fast, complex or heavy traffic",
,402,New driver showed inexperience,
,403,Driving unfamiliar vehicle,
,404, Overseas / migrant driver fails to adjust to NZ road rules,
,and, road conditions,
,405,Driver under instruction,
,406, At towing trailer / other vehicle,
,407,Driver over-reacted,
,408, Unsupervised cyclist,
,410," Fatigue (drowsy, tired, fell asleep)",
,411, Long trip,
,412, Lack of sleep,
,413, Exhaust fumes,
,414, Worked long hours before driving,
,415, Exceeded driving hours,
,420,Incorrect use of vehicle controls,
,421, Started in gear,
,422,Stalled engine,
,423,Wrong pedal,
,424,"Footrest, stand",
,425,Ignition turned off (steering locked),
,426,Lights not switched on,
,427,Foot slipped or caught under pedal,
,428,Parking brake not fully applied,
,429,Trailer coupling or safety chain not secured,
,430, Showing off,
,431, Racing,
,432,Playing chicken,
,433,Wheel spins / wheelies / doughnuts / drifting,
,434,Intimidating driving,
,440, Parked or stopped,
,441, Inadequately lit at night: (not lit by street lights or park,
,lig,hts off),
,442,At point of limited visibility,
,443,Not as close as practicable to side of road,
,444,On incorrect side of road,
,445,Double parked,
,446,In 'No Stopping' area,
,447,Not clear of rail crossing,
,448,In cycle or Transit lane,
,Gen,eral person,
,500,Illness and disability,
,501," Illness with no warning eg heart attack, unexpected",
,epi,lepsy),
,502,Physically disabled,
,503,Defective vision,
,504,"Medical illness (not sudden) flu, diabetes",
,505,"Mental illness (depression, psychosis)",
,506,Suicidal (but not successful),
,507,Impaired ability due to old age,
,510, Intentional or criminal,
,511, Deliberate homicide (only if succeeded),
,512, Intentional collision,
,513, Committed suicide (only if succeeded),
,514, Evading enforcement,
,515, Object deliberately thrown at or dropped on vehicle / shot,
,at,,
,516, Object thrown from vehicle,
,517, Stolen vehicle,
,520,"Driver or passenger, boarding, leaving , in vehicle",
,521, Boarding moving vehicle,
,522, Intentionally leaving moving vehicle,
,523, Riding in insecure position,
,524,Interfered with driver,
,525, Opened door inadvertently,
,526,Overloaded vehicle (with passengers),
,527, Child playing in parked vehicle,
,530,Miscellaneous person,
,531, Casualty drowned,
,532, Casualty thrown from vehicle,
,533, Equestrian not keeping to verge,
,534,Cyclist or M/cyclist wearing dark clothing,
,Veh,icles,
,600, Lights and reflectors at fault or dirty,
,601, Dazzling headlights,
,602, Headlights inadequate or no headlights,
,603, Headlights failed suddenly,
